City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dovers,VC,2022-02-01 01:34:35,12.8833,-61.1833,78.49,78,18,14.45
1,Iqaluit,CA,2022-02-01 01:36:08,63.7506,-68.5145,-29.31,66,0,3.0
2,Hermanus,ZA,2022-02-01 01:36:08,-34.4187,19.2345,73.9,89,3,8.48
3,Yellowknife,CA,2022-02-01 01:31:18,62.456,-114.3525,-11.58,83,20,6.91
4,Niltepec,MX,2022-02-01 01:36:09,16.5667,-94.6167,72.77,85,0,4.18
5,Bluff,NZ,2022-02-01 01:36:10,-46.6,168.3333,74.8,79,100,10.96
6,East London,ZA,2022-02-01 01:36:10,-33.0153,27.9116,77.02,71,100,2.42
7,Saint-Paul,RE,2022-02-01 01:36:11,-21.0096,55.2707,78.89,77,98,4.29
8,Albany,US,2022-02-01 01:32:38,42.6001,-73.9662,17.73,67,8,2.24
9,Esna,EG,2022-02-01 01:36:11,25.2934,32.554,46.42,66,0,6.8
10,Taoudenni,ML,2022-02-01 01:36:12,22.6783,-3.9836,65.57,8,2,11.45
11,Cape Town,ZA,2022-02-01 01:31:29,-33.9258,18.4232,74.12,81,0,3.44
12,Hobart,AU,2022-02-01 01:36:12,-42.8794,147.3294,85.86,39,75,5.01
13,Punta Arenas,CL,2022-02-01 01:36:13,-53.15,-70.9167,46.51,76,75,14.97
14,Livingston,GB,2022-02-01 01:36:13,55.9029,-3.5226,48.85,92,40,19.57
15,Kodiak,US,2022-02-01 01:36:14,57.79,-152.4072,29.71,93,100,0.0
16,Castro,BR,2022-02-01 01:36:14,-24.7911,-50.0119,62.67,90,1,2.55
17,Vao,NC,2022-02-01 01:36:15,-22.6667,167.4833,78.08,83,100,9.35
18,Vrangel,RU,2022-02-01 01:36:16,42.7297,133.0839,19.67,49,18,10.65
19,Carnarvon,AU,2022-02-01 01:31:25,-24.8667,113.6333,86.07,58,4,16.11
20,San Cristobal,VE,2022-02-01 01:36:16,7.7669,-72.225,71.78,85,97,2.44
21,Kihei,US,2022-02-01 01:36:17,20.785,-156.4656,82.42,62,40,13.8
22,Manggar,ID,2022-02-01 01:36:17,-2.8833,108.2667,83.77,67,100,7.07
23,Port Alfred,ZA,2022-02-01 01:36:18,-33.5906,26.891,74.64,97,99,2.71
24,Lukovetskiy,RU,2022-02-01 01:36:18,64.2956,41.9211,15.78,97,100,5.12
25,Rikitea,PF,2022-02-01 01:36:19,-23.1203,-134.9692,78.28,67,95,5.93
26,Ancud,CL,2022-02-01 01:36:19,-41.8697,-73.8203,57.42,84,78,7.16
27,Sao Jose Da Coroa Grande,BR,2022-02-01 01:36:19,-8.8978,-35.1478,78.42,80,38,6.4
28,Avarua,CK,2022-02-01 01:36:20,-21.2078,-159.775,77.05,88,100,10.36
29,Denison,US,2022-02-01 01:36:20,33.7557,-96.5367,59.18,78,40,3.0
30,Nikolskoye,RU,2022-02-01 01:36:21,59.7035,30.7861,24.69,97,100,4.63
31,Ushuaia,AR,2022-02-01 01:36:21,-54.8,-68.3,40.66,87,75,17.27
32,Hilo,US,2022-02-01 01:36:22,19.7297,-155.09,78.53,69,40,11.5
33,Chuy,UY,2022-02-01 01:36:22,-33.6971,-53.4616,61.38,65,0,7.09
34,Thinadhoo,MV,2022-02-01 01:36:22,0.5333,72.9333,82.6,69,28,10.31
35,Bredasdorp,ZA,2022-02-01 01:34:14,-34.5322,20.0403,72.28,98,21,5.48
36,Kitimat,CA,2022-02-01 01:36:23,54.0524,-128.6534,35.98,98,97,2.77
37,Bedesa,ET,2022-02-01 01:36:23,8.9,40.7833,58.55,33,100,3.49
38,Padang,ID,2022-02-01 01:36:24,-0.9492,100.3543,75.25,83,100,1.14
39,Lebu,CL,2022-02-01 01:36:24,-37.6167,-73.65,57.56,77,0,17.11
40,Saint George,US,2022-02-01 01:36:25,37.1041,-113.5841,54.95,22,0,1.99
41,Vila Velha,BR,2022-02-01 01:32:49,-20.3297,-40.2925,75.15,88,100,8.05
42,Zhigansk,RU,2022-02-01 01:36:26,66.7697,123.3711,-29.56,98,91,7.14
43,Tura,IN,2022-02-01 01:36:26,25.5198,90.2201,58.51,59,80,4.68
44,Iqaluit,CA,2022-02-01 01:36:08,63.7506,-68.5145,-29.31,66,0,3.0
45,Hermanus,ZA,2022-02-01 01:36:08,-34.4187,19.2345,73.9,89,3,8.48
46,Yellowknife,CA,2022-02-01 01:31:18,62.456,-114.3525,-11.58,83,20,6.91
47,Niltepec,MX,2022-02-01 01:36:09,16.5667,-94.6167,72.77,85,0,4.18
48,Bluff,NZ,2022-02-01 01:36:10,-46.6,168.3333,74.8,79,100,10.96
49,East London,ZA,2022-02-01 01:36:10,-33.0153,27.9116,77.02,71,100,2.42
50,Saint-Paul,RE,2022-02-01 01:36:11,-21.0096,55.2707,78.89,77,98,4.29
51,Albany,US,2022-02-01 01:32:38,42.6001,-73.9662,17.73,67,8,2.24
52,Esna,EG,2022-02-01 01:36:11,25.2934,32.554,46.42,66,0,6.8
53,Taoudenni,ML,2022-02-01 01:36:12,22.6783,-3.9836,65.57,8,2,11.45
54,Cape Town,ZA,2022-02-01 01:31:29,-33.9258,18.4232,74.12,81,0,3.44
55,Hobart,AU,2022-02-01 01:36:12,-42.8794,147.3294,85.86,39,75,5.01
56,Punta Arenas,CL,2022-02-01 01:36:13,-53.15,-70.9167,46.51,76,75,14.97
57,Livingston,GB,2022-02-01 01:36:13,55.9029,-3.5226,48.85,92,40,19.57
58,Kodiak,US,2022-02-01 01:36:14,57.79,-152.4072,29.71,93,100,0.0
59,Castro,BR,2022-02-01 01:36:14,-24.7911,-50.0119,62.67,90,1,2.55
60,Vao,NC,2022-02-01 01:36:15,-22.6667,167.4833,78.08,83,100,9.35
61,Vrangel,RU,2022-02-01 01:36:16,42.7297,133.0839,19.67,49,18,10.65
62,Carnarvon,AU,2022-02-01 01:31:25,-24.8667,113.6333,86.07,58,4,16.11
63,San Cristobal,VE,2022-02-01 01:36:16,7.7669,-72.225,71.78,85,97,2.44
64,Kihei,US,2022-02-01 01:36:17,20.785,-156.4656,82.42,62,40,13.8
65,Manggar,ID,2022-02-01 01:36:17,-2.8833,108.2667,83.77,67,100,7.07
66,Port Alfred,ZA,2022-02-01 01:36:18,-33.5906,26.891,74.64,97,99,2.71
67,Lukovetskiy,RU,2022-02-01 01:36:18,64.2956,41.9211,15.78,97,100,5.12
68,Rikitea,PF,2022-02-01 01:36:19,-23.1203,-134.9692,78.28,67,95,5.93
69,Ancud,CL,2022-02-01 01:36:19,-41.8697,-73.8203,57.42,84,78,7.16
70,Sao Jose Da Coroa Grande,BR,2022-02-01 01:36:19,-8.8978,-35.1478,78.42,80,38,6.4
71,Avarua,CK,2022-02-01 01:36:20,-21.2078,-159.775,77.05,88,100,10.36
72,Denison,US,2022-02-01 01:36:20,33.7557,-96.5367,59.18,78,40,3.0
73,Nikolskoye,RU,2022-02-01 01:36:21,59.7035,30.7861,24.69,97,100,4.63
74,Ushuaia,AR,2022-02-01 01:36:21,-54.8,-68.3,40.66,87,75,17.27
75,Hilo,US,2022-02-01 01:36:22,19.7297,-155.09,78.53,69,40,11.5
76,Chuy,UY,2022-02-01 01:36:22,-33.6971,-53.4616,61.38,65,0,7.09
77,Thinadhoo,MV,2022-02-01 01:36:22,0.5333,72.9333,82.6,69,28,10.31
78,Bredasdorp,ZA,2022-02-01 01:34:14,-34.5322,20.0403,72.28,98,21,5.48
79,Kitimat,CA,2022-02-01 01:36:23,54.0524,-128.6534,35.98,98,97,2.77
80,Bedesa,ET,2022-02-01 01:36:23,8.9,40.7833,58.55,33,100,3.49
81,Padang,ID,2022-02-01 01:36:24,-0.9492,100.3543,75.25,83,100,1.14
82,Lebu,CL,2022-02-01 01:36:24,-37.6167,-73.65,57.56,77,0,17.11
83,Saint George,US,2022-02-01 01:36:25,37.1041,-113.5841,54.95,22,0,1.99
84,Vila Velha,BR,2022-02-01 01:32:49,-20.3297,-40.2925,75.15,88,100,8.05
85,Zhigansk,RU,2022-02-01 01:36:26,66.7697,123.3711,-29.56,98,91,7.14
86,Tura,IN,2022-02-01 01:36:26,25.5198,90.2201,58.51,59,80,4.68
87,Atuona,PF,2022-02-01 01:38:53,-9.8,-139.0333,78.62,77,14,19.73
88,Cayenne,GF,2022-02-01 01:38:53,4.9333,-52.3333,80.1,84,40,5.99
89,Hamilton,US,2022-02-01 01:36:33,39.1834,-84.5333,34.57,74,0,0.0
90,Bonthe,SL,2022-02-01 01:38:54,7.5264,-12.505,76.03,92,61,4.18
91,Sainte-Suzanne,RE,2022-02-01 01:38:55,-20.9061,55.6089,78.98,50,0,6.91
92,Najran,SA,2022-02-01 01:38:55,17.4924,44.1277,57.85,66,77,6.15
93,Komsomolskiy,UZ,2022-02-01 01:38:55,40.4272,71.7189,27.82,86,71,0.0
94,Vaini,TO,2022-02-01 01:38:56,-21.2,-175.2,86.16,79,75,11.5
95,Tigil,RU,2022-02-01 01:38:56,57.8,158.6667,19.49,82,9,8.66
96,Narsaq,GL,2022-02-01 01:38:57,60.9167,-46.05,26.82,88,100,6.42
97,San Bonifacio,IT,2022-02-01 01:38:57,45.3969,11.2844,43.68,99,9,7.9
98,Kapaa,US,2022-02-01 01:38:57,22.0752,-159.319,76.98,71,20,1.01
99,Dingle,PH,2022-02-01 01:38:58,10.9995,122.6711,81.36,77,100,12.86
100,Lorengau,PG,2022-02-01 01:38:58,-2.0226,147.2712,77.47,91,100,13.69
101,Nanortalik,GL,2022-02-01 01:38:59,60.1432,-45.2371,24.46,80,100,12.68
102,Alta Gracia,AR,2022-02-01 01:38:59,-31.6529,-64.4283,70.72,77,0,4.83
103,Victoria,HK,2022-02-01 01:35:57,22.2855,114.1577,57.33,88,100,1.01
104,Longyan,CN,2022-02-01 01:39:00,25.1072,117.0225,47.5,97,100,3.11
105,Busselton,AU,2022-02-01 01:39:00,-33.65,115.3333,69.08,39,0,16.35
106,Lakeway,US,2022-02-01 01:39:01,30.3638,-97.9796,57.6,91,100,5.99
107,Khatanga,RU,2022-02-01 01:39:01,71.9667,102.5,-29.27,100,20,3.18
108,Mataura,NZ,2022-02-01 01:39:02,-46.1927,168.8643,74.48,46,100,1.34
109,Sitka,US,2022-02-01 01:39:02,57.0531,-135.33,35.49,80,75,0.0
110,Teguise,ES,2022-02-01 01:39:03,29.0605,-13.564,66.42,56,0,13.8
111,Cherskiy,RU,2022-02-01 01:39:03,68.75,161.3,-4.32,86,100,3.36
112,Yaan,NG,2022-02-01 01:39:04,7.3833,8.5667,71.46,19,74,5.41
113,Tasiilaq,GL,2022-02-01 01:39:04,65.6145,-37.6368,10.56,92,87,7.65
114,Broome,US,2022-02-01 01:39:05,42.2506,-75.833,16.57,74,8,1.99
115,Provideniya,RU,2022-02-01 01:38:35,64.3833,-173.3,8.71,66,75,22.37
116,Turukhansk,RU,2022-02-01 01:39:05,65.8167,87.9833,9.12,94,100,11.07
117,Chokwe,MZ,2022-02-01 01:39:06,-24.5333,32.9833,71.44,91,0,3.15
118,Longyearbyen,SJ,2022-02-01 01:39:06,78.2186,15.6401,13.84,67,75,8.05
119,New Norfolk,AU,2022-02-01 01:39:07,-42.7826,147.0587,85.5,29,33,5.99
120,Saskylakh,RU,2022-02-01 01:39:07,71.9167,114.0833,-28.91,100,66,2.19
121,Port Elizabeth,ZA,2022-02-01 01:39:07,-33.918,25.5701,73.09,100,100,3.44
122,Makakilo City,US,2022-02-01 01:39:08,21.3469,-158.0858,75.18,64,75,9.22
123,Nizhnyaya Omka,RU,2022-02-01 01:39:08,55.4338,74.9426,20.14,95,100,11.61
124,Gebre Guracha,ET,2022-02-01 01:39:09,9.8,38.4,55.76,48,68,1.23
125,Kahului,US,2022-02-01 01:39:09,20.8947,-156.47,82.42,62,40,13.8
126,Cabesti,RO,2022-02-01 01:39:10,46.7667,22.3667,33.13,93,100,4.5
127,Tianpeng,CN,2022-02-01 01:39:10,30.9866,103.9393,41.47,83,100,7.07
128,Chokurdakh,RU,2022-02-01 01:38:27,70.6333,147.9167,-12.42,93,100,1.39
129,Indianola,US,2022-02-01 01:39:11,41.3581,-93.5574,43.29,67,100,14.79
130,Agucadoura,PT,2022-02-01 01:39:11,41.4318,-8.7804,46.96,69,0,8.84
131,Sorong,ID,2022-02-01 01:39:12,-0.8833,131.25,82.58,69,100,13.87
132,Balyaga,RU,2022-02-01 01:39:12,51.1507,108.921,-8.27,98,100,1.88
133,Talnakh,RU,2022-02-01 01:39:13,69.4865,88.3972,6.21,95,97,8.86
134,Pevek,RU,2022-02-01 01:40:13,69.7008,170.3133,-17.16,97,65,0.58
135,Mount Gambier,AU,2022-02-01 01:40:14,-37.8333,140.7667,66.11,52,75,24.16
136,Bucerias,MX,2022-02-01 01:40:14,20.75,-105.3333,75.18,78,0,12.66
137,Samarai,PG,2022-02-01 01:40:15,-10.6167,150.6667,86.83,66,100,12.73
138,Upernavik,GL,2022-02-01 01:39:38,72.7868,-56.1549,-17.73,97,100,6.8
139,Ponta Do Sol,PT,2022-02-01 01:40:16,32.6667,-17.1,65.03,83,13,12.59
140,Cap Malheureux,MU,2022-02-01 01:40:16,-19.9842,57.6142,79.47,70,98,8.01
141,Thompson,CA,2022-02-01 01:40:17,55.7435,-97.8558,1.56,78,100,5.75
142,Aklavik,CA,2022-02-01 01:40:17,68.2191,-135.0107,-3.17,92,100,10.51
143,Rio Gallegos,AR,2022-02-01 01:40:18,-51.6226,-69.2181,50.05,57,20,31.07
144,Pitimbu,BR,2022-02-01 01:40:18,-7.4706,-34.8086,77.59,79,25,8.55
145,Helong,CN,2022-02-01 01:40:19,42.5397,128.9972,19.74,47,29,5.75
146,Saldanha,ZA,2022-02-01 01:40:20,-33.0117,17.9442,66.49,88,8,8.28
147,Isabela,PH,2022-02-01 01:40:20,6.7085,121.9711,84.25,68,91,7.92
148,Port Moresby,PG,2022-02-01 01:40:21,-9.4431,147.1797,81.82,78,75,11.5
149,Raga,SS,2022-02-01 01:40:21,8.4596,25.678,65.53,20,6,6.67
150,Kavaratti,IN,2022-02-01 01:40:21,10.5669,72.642,80.44,72,6,9.57
151,Vestmannaeyjar,IS,2022-02-01 01:40:22,63.4427,-20.2734,38.01,78,35,38.36
152,Prabumulih,ID,2022-02-01 01:40:22,-3.45,104.25,81.27,77,100,3.29
153,Safaga,EG,2022-02-01 01:40:23,26.7292,33.9365,58.01,50,0,5.32
154,Saint-Philippe,RE,2022-02-01 01:40:06,-21.3585,55.7679,78.35,80,100,14.61
155,Saint Anthony,US,2022-02-01 01:40:23,45.0205,-93.218,29.25,77,0,7.0
156,Wanning,CN,2022-02-01 01:39:39,18.8003,110.3967,71.29,90,92,4.12
157,Labelle,US,2022-02-01 01:40:08,26.7617,-81.4384,58.98,29,8,6.49
158,Constitucion,CL,2022-02-01 01:38:29,-35.3333,-72.4167,57.7,75,0,8.3
159,Luderitz,NA,2022-02-01 01:38:35,-26.6481,15.1594,64.31,92,24,6.53
160,Bengkulu,ID,2022-02-01 01:40:25,-3.8004,102.2655,81.55,72,88,3.76
161,Dhupgari,IN,2022-02-01 01:40:25,26.5858,89.0145,58.3,57,39,3.96
162,Grand Gaube,MU,2022-02-01 01:40:26,-20.0064,57.6608,79.38,70,98,8.01
163,Bambous Virieux,MU,2022-02-01 01:40:26,-20.3428,57.7575,79.21,78,75,18.41
164,Barrow,US,2022-02-01 01:37:15,71.2906,-156.7887,-16.58,83,75,9.22
165,Taixing,CN,2022-02-01 01:40:27,32.1667,120.0136,43.0,39,100,9.84
166,Jamestown,US,2022-02-01 01:40:27,42.097,-79.2353,28.04,50,0,5.75
167,Gunjur,GM,2022-02-01 01:40:28,13.2019,-16.7339,73.47,53,98,11.5
168,Hirakud,IN,2022-02-01 01:40:28,21.5167,83.8667,60.91,44,7,2.1
169,Mayo,US,2022-02-01 01:40:29,38.8876,-76.5119,31.98,68,0,1.01
170,Te Anau,NZ,2022-02-01 01:40:29,-45.4167,167.7167,76.23,39,100,2.06
171,Fort Wellington,GY,2022-02-01 01:40:29,6.4,-57.6,76.77,81,99,9.24
172,Ciudad Bolivar,VE,2022-02-01 01:40:30,8.1222,-63.5497,81.82,58,78,12.35
173,Moose Factory,CA,2022-02-01 01:40:31,51.2585,-80.6094,1.4,60,100,9.22
174,Puerto Narino,CO,2022-02-01 01:40:31,-3.7703,-70.3831,80.55,82,89,2.13
175,Katangli,RU,2022-02-01 01:41:31,51.7102,143.2326,9.59,92,100,21.77
176,Kaitangata,NZ,2022-02-01 01:41:32,-46.2817,169.8464,68.09,73,100,7.38
177,Lompoc,US,2022-02-01 01:39:43,34.6391,-120.4579,61.59,81,0,11.5
178,Ahipara,NZ,2022-02-01 01:41:33,-35.1667,173.1667,73.62,70,99,15.37
179,Souillac,MU,2022-02-01 01:41:33,-20.5167,57.5167,79.36,78,75,18.41
180,Pina,PH,2022-02-01 01:41:34,12.1936,124.4039,80.44,78,41,8.72
181,Margate,GB,2022-02-01 01:41:34,51.3813,1.3862,42.96,82,93,1.99
182,Puerto Ayora,EC,2022-02-01 01:39:41,-0.7393,-90.3518,73.54,94,91,5.28
183,Vardo,NO,2022-02-01 01:41:35,70.3705,31.1107,21.97,81,22,8.34
184,Klaksvik,FO,2022-02-01 01:41:35,62.2266,-6.589,43.72,80,100,43.82
185,Tuktoyaktuk,CA,2022-02-01 01:41:36,69.4541,-133.0374,-18.4,69,40,2.3
186,Nome,US,2022-02-01 01:41:36,64.5011,-165.4064,19.47,45,0,16.11
187,Pisticci,IT,2022-02-01 01:41:37,40.3906,16.5568,48.13,84,100,9.35
188,Codrington,AU,2022-02-01 01:40:24,-38.2667,141.9667,61.93,59,96,21.79
189,Pilar,BR,2022-02-01 01:41:37,-9.5972,-35.9567,76.93,87,7,4.18
190,Kaputa,ZM,2022-02-01 01:41:38,-8.4689,29.6619,65.84,89,100,4.34
191,Awjilah,LY,2022-02-01 01:41:38,29.1081,21.2869,51.82,66,2,10.09
192,Niceville,US,2022-02-01 01:37:41,30.5169,-86.4822,55.9,78,0,0.0
193,Pisco,PE,2022-02-01 01:41:39,-13.7,-76.2167,71.65,73,100,13.8
194,Kavieng,PG,2022-02-01 01:39:34,-2.5744,150.7967,79.95,84,96,12.91
195,Floirac,FR,2022-02-01 01:41:40,44.8324,-0.5141,40.55,93,0,4.61
196,Roma,US,2022-02-01 01:40:58,43.2128,-75.4557,16.65,77,0,0.0
197,Constantine,DZ,2022-02-01 01:41:40,36.365,6.6147,44.01,75,0,8.05
198,Adrar,MR,2022-02-01 01:41:41,20.5022,-10.0711,71.91,14,100,10.96
199,Parabel,RU,2022-02-01 01:41:41,58.6978,81.4825,4.5,96,69,7.43
200,Isetskoye,RU,2022-02-01 01:41:42,56.4858,65.3226,-4.18,100,100,3.78
201,Canoinhas,BR,2022-02-01 01:41:42,-26.1772,-50.39,65.14,81,70,0.38
202,Arraial Do Cabo,BR,2022-02-01 01:40:55,-22.9661,-42.0278,75.16,94,0,5.75
203,Cidreira,BR,2022-02-01 01:40:12,-30.1811,-50.2056,72.95,87,2,1.66
204,Tuatapere,NZ,2022-02-01 01:41:43,-46.1333,167.6833,74.82,43,100,1.5
